ID	ProjectDescription	CandidateDescription	Preference
1	"We arethe transformation arm of a Fortune 100 company seeking consultant/projectmanager athletes for high visibility projects within the organization. We needa strong performer to coordinate across our different workstreams and supportour executive leadership. Flexible candidates will be most successful in thisdynamic environment. Example projects:Developing presentations for leadership meetingsOrganizing internal summits (agendas, communications, content)Attending executive meetings, synthesizing next steps, and driving ongoing follow up Analytic support for business model developmentSpecial projects for our EVP as needed e.g. research and memo development for CEOWe are seekingcandidates at the Engagement Manager level or higher for this project.Candidates should be proactive, extremelyorganized and used to creating process, strong impact/influence with ability topresent with confidence to an EVP of a Fortune 100 organization. Candidatesshould also be comfortable building high-quality presentations, includinginitial storytelling, in a dynamic and highly visible environment.Otherdetails:Executive level communication (including deck creation) is requiredHealthcare experience is a plusProject expected tolast until 3-4 monthsOnsite work in GreaterBoston area and Rhode Island required (4 days a week onsite required)."	"Leads, coaches, mentors and trains others in using established process improvement methodology Consults with management and other process owners to identify and define process improvement opportunities Develops and presents business cases to senior management sponsors Provides subject matter expertise in financial services operations processes associated with client transactions Ensures policies, procedures and regulatory requirements are considered in process reviews Drives operational process improvements using statistical methodologies, including identifying causes of process inefficiencies and designing process re-engineering solutions Develops and implements standard process improvement methodology Develops programs to formalize process improvement as a core competency Prepares and delivers written and oral presentations to senior management Maintains currency in process improvement techniques, methodologies and practices Operates standard office equipment and uses required software applications Financial services operations, including transaction processing, reporting and related systems Operations systems, core functions and interrelated processing requirements Advanced concepts, principles, practices, tools and strategies of process analysis and improvement Analyzing business processes and identifying process improvement opportunities Developing complex business cases Developing and implementing process improvement methodology Developing programs to formalize process improvement as a core competency Preparing written and oral presentations Translating broad concepts into specific actions and related success measures Lead, coach, mentor and train others Provide strategic vision and translate strategy and vision into actions and related success measures Thrive under pressure and adapt to conflict situations Incorporate needs, wants and goals from different business unit perspectives into process improvement initiatives Identify linkages and trends and apply findings to process improvement initiatives Prioritize and manage multiple projects and priorities in a fast-paced, dynamically changing environment Work collaboratively with multiple functional areas Lead others in handling change and stressful situations and providing a high level of customer service in a calm and professional manner Establish and maintain effective working relationships at all levels of the organization, including negotiating resource) Maintain currency in process improvement techniques, methodologies and practices Bachelor's Degree and a minimum of eight (8) years relevant consulting and/or process improvement experience"	Y
2	"We are a PE firm seeking a junior consulting resource to assist us in compiling a database of companies based on a few online lists we were able to find on the web. We would like this individual topull all this information into an Excel file _ the task would involve copy/pasting company name, description, products, location etc. and then a little bit of reading to categorize them.We do not expect this to be more than a few hours of work. We would like to kick off ASAP."	"Creation of impactful though leadership for use in business development, engagement delivery, as well as marketing to build EY’s profile. High degree of commercial acumen and familiarity with strategy frameworks and methodologies"	N
3	"We are a mid-market private equity firm looking for an ex-consultant (McKinsey, Bain, BCG, L.E.K., etc.) to help us perform due diligence on a niche aviation opportunity. Specifically, we would like this consultant to work in tandem with a specialist aviation consulting firm we have engaged to produce a ""commercial market study"" diligence report focused on addressable market size, expected growth rates, competitive landscape and key customer purchase criteria. The consultant will drive the process, fill in gaps where our specialist aviation consultant lacks expertise (survey work, interviews, market sizing, etc.) and ultimately own the deliverable.Our ideal candidate has a strong background in conducting due diligence for private equity firms. Experience in the aviation industry is a plus.We envision this project kicking off in early December and lasting 3-6 weeks."	"Support the SVP, Talent Development & Strategy in developing the strategic plan for attracting talent to the Network and Studios Advise on overall talent positioning strategy and provide specialized consistent service to the various departments within all areas of Telemundo Media Provide guidance and coaching to talent and assist with talent development in order to optimize talent potential Support SVP, Talent Development & Strategy in maintaining and developing strong relationships and regular contact with talent representatives (agents, managers, publicists, attorneys) Recommend strategies for scouting, evaluating and recruiting talent through various methods such as castings, auditions, interviews, etc Assist the SVP, Talent Development & Strategy with internal and external talent requests to ensure proper execution and alignment with overall strategy Advise and make recommendations on how to match talent with revenue generating opportunities Working with SVP, Talent Development & Strategy, analyze and identify opportunities for “360 relationships” with appropriate talent Advise local stations on how to improve our service and commitment to charitable and community organizations, concurrently generating opportunities to showcase our talent and assist with implementation Minimum of 5+ years of experience in the Entertainment or Television industry Minimum four year college degree or equivalent years of experience Proficient in English and Spanish Must be extremely organized and able to focus attention and manage details on multiple projects at the same time; organize, prioritize and follow-through Strong initiative, creativity, sense of drive and ambition"	N
4	"I am launching a new commercial real estate platform called 20 Bridges Realty Partners, LLC. I have been presenting the slide deck for the Investment and Operating platform as well as the strategy. Part of the platform requires the prospective investor to provide working capital in exchange for a fixed percentage interest in the Operating Platform, as well as providing Investment Capital for the GP portion of the prospective real estate investments.Several potential investors have expressed interest, but need to better understand the Operating Platform's budget and how they, the investor gets paid back both the operating capital and their GP investment capital.I am looking for someone to provide analytical support to build a dynamic Excel model which shows the working capital budget over 5 yrs. Part of the complexity of this model lies in the fact that the revenue and expenses related to model scale upwards as we are successful in acquiring new properties. So, simultaneous to running a revenue/expense model for the business platform, we have to overlay assumptions and hypothetical CF's from the prospective investments.Each investment will provide a series of fees to the Operating platform (i.e. acquisition, property management, etc...) that will offset the ""burn"" of the investors working capital draw from the investor. The investor's working capital will also be paid back as part of the ""waterfall"" of distributions to the GP (specifics to be provided).The model needs to be dynamic in the sense that we may have to vary the the assumptions of how many acquisitions are made per year, and how at what point does the business grow from an initial team of 3 to more,,,We will provide a basic Property Level acquisition template, but the fees from the Property will feed into the working capital budget.Because of the nature of the sensitivity of the project, its key members, its operating and investment strategy, you will be required to execute a Confidentiality Agreement before engaging in the assignment."	"Investment concepts, practices and procedures used in the securities industry and Service industry Call Center and Operational Processes including Case Management and it's application to operations/ Business Process Management and Business Process Management tools Bachelor's Degree and a minimum of eight (8) years relevant consulting, Operational Management, Service Delivery and/or process improvement experience Implementation and Design of call tracking and Case Management systesm"	Y
5	"We are a PE-backed consumer products business undergoing an ERP transformation. We are looking for a senior ERP project manager to work on-site with us in Sterling, IL for ~6 months. Our current CIO is retiring (we're in the process of hiring a new one) and we have determined we don't have enough resources internally to get this done by roll-out date.Our ideal candidate is a Senior PMO leader with ERP experience or a CIO type executive with heavy PMO and ERP experience. We need support identifying work streams, determining hours and resources needed for these work streams, etc.The ERP (Infor) is running in test mode currently and we are targeting March or April to roll-out. We envision needing PMO support for at least 4 day/week on-site."	"Works collaboratively with Role Strategy, Compensation and the Senior Manager, Performance Strategy to design & develop short term incentive (STI) strategies and frameworks that support RBC’s goals and objectives, ensuring programs are motivational, financially viable and generate the highest return on investment Works collaboratively with Role & Sales Strategy, Capacity Optimizations Managers and the Senior Manager, Performance Strategy to lead current market resource and sales planning processes that support RBC’s goals and objectives, ensuring the measures, insights and tools enable enterprise leaders to make strategic business choices for their market that are motivational, financially viable and generate the highest return on investment Design and develop performance metrics & reporting to support weekly/monthly/quarterly management routines and incentive programs Design and develop capacity-related metrics & insights reporting to support market & sales planning and capacity management Works independently and in smaller teams to operationalize various components of CB performance, incentive & capacity-related measures & programs, assessing impacts, recommending options and executing on outcomes Partners closely with Communications & Delivery group to roll out new and revised performance, incentive & capacity programs to Enterprise & Sales Leaders through various mediums, including Leo TV, resource guides, websites, etc Works closely with IT, Project Management, Performance Information Reporting to define business requirements, work through the various stages of the project from idea creation to execution Support field change management & communication by providing content to support development of communication material and reviewing drafted material Conduct research on the development and fulfillment of leadership, sales metrics Collaborate with partners to meet Sales and Service Performance Management team objectives Education required BA/BSc Strong business & organizational knowledge, performance management, planning and implementing capabilities with a knowledge / experience across Canadian Banking Minimum 2 years of experience in sales management Flexibility to adapt to change, work in teams, and think independently Extremely Proficient with MS Office Programs (Power Point, Excel, Outlook, and Word) Strong analytical and math skills, with high intellectual curiosity and ability to interpret results and outcomes post-launch of an initiative Excellent knowledge of RBC Banking leadership, sales and service roles within various delivery channels Excellent written, oral communication and strong impact & influence competencies Strong leadership, teamwork and co-operation"	N
6	We are looking for an individual to help lead the due diligence as well as the creation of an investment memo. Company is in fintech	"Finance Accounting ManagerResume Examples & Samples Approve account reconciliations, vendor invoices and journal entries Coordinate and manage allocation activity amongst multiple business units Review payroll, fixed assets activity and capital spending Analyze, report and forecast financial performance results Support initiatives to improve efficiency and effectiveness in the company’s digital business Ensure accurate invoicing and profitability analysis for centralized digital and group sales functions Oversee accounting for broadcast rights Prepare required quarterly and year-end financial reporting schedules Coordinate with internal and/or external auditors to ensure effective and efficient processes and compliance with all Sarbanes-Oxley requirements Support business unit finance leads with special projects, accounting research and process improvement initiatives Assist with the effective implementation and configuration of the company’s next generation financial systems Undergraduate in Accounting, CPA preferred along with 8-10 years of progressive experience in accounting and internal controls for a large company or significant division of a company Qualified candidate must be results-oriented, able to work in a team environment and possess excellent interpersonal skills in order to communicate across multiple operating units, corporate departments and other levels of management Must possess strong analytical and organizational skills with the ability to manage multiple tasks simultaneously and consistently meet tight deadlines, work efficiently with a sense of urgency, a high degree of accuracy and attention to detail Excellent ability to build trusting relationships and partnerships throughout the organization. Ability to define, implement and adhere to policies and procedures. Ability to work under strict deadlines. Excellent documentation and effective communication skills required Media industry experience is beneficial, but not required"	Y
7	"We are a PE firm that is looking for a consultant to help us map out and identify an exhaustive list of businesses within the healthcare consumer solutions market (as defined and outlined below). As this is a company identification and profiling exercise, we would prioritize a consultant who has experience in effectively and creatively developing acquisition target lists rather than someone with relevant domain expertise. However, to the extent a consultant has direct employee benefits / healthcare consumerism experience, that would be highly valued too. We are looking to get started on this work by the beginning of next week so please pitch ASAP if you are available.Healthcare Consumerism SolutionsDefined As: businesses that are enabling consumers, employers and benefit administrators to more effectively and efficiently make consumer-driven healthcare decisions utilizing funds from the following sources:Flexible spending accounts (FSAs)Health savings accounts (HSAs)Health reimbursement accounts (HRAs)Wellness benefitsDependent care / Childcare benefitsMedicare Advantage OTC benefits"	"Work with businesses to develop end-to-end operations leveraging industry leading practices Continuously works to identify new opportunities to decrease costs, increase revenues, improve retention, enhance quality and client satisfaction Focus on building and deploying go-forward model office plans (e.g. organize deployment, prioritizing benefits and minimize branch disruptions) Business Case / Planning Assess value at stake from transformational initiatives and potential implications for businesses Develop detailed business cases based on improvement opportunities in collaboration with multiple businesses and stakeholders Develop and implement detailed plans to ensure near term and long term objectives are planned and executed Transformation / Business Liaison Enlist steering committees to guide WNA's initiatives and serve as the leader / facilitator as needed Engage business / function leaders to drive the design and execution of transformational initiatives Program Leader/Coordinator Advance workstreams with oversight and leadership of one or more the key workstreams identified Design and end-to-end management of key business and operational initiatives (e.g. business opportunity assessments, operational efficiency assessments, operations and accounting process redesign, etc.) Provide expertise in building businesses and launching product offerings Business Acumen: Proven ability to translate strategic plans, objectives, and business goals into actionable, well-defined programs, projects, and initiatives Foundational experience and knowledge of Insurance business or significant external experience in related industry products, channels, and services Operations / Execution Demonstrated ability to identify, execute and manage significant engagements across Operations, Sales and Technology functions of the business Ability to track business / operational performance – target operating models, product development and launch, cost optimization, restructurings, etc Problem Solving: Strong analytical and problem solving background and associated skills (e.g. analyze market trends, voice of customer information, competitive threats, and product / sales / operational strategic needs) Ability to engage and lead ambiguous problem solving with teams to drive meaningful conclusion Communications: Outstanding written and verbal communication skills to effectively articulate and communicate business to senior leadership Fluency with spreadsheets (e.g., Excel) and presentation tools (e.g., PowerPoint) Team player Collaborative and team-oriented working style Optimistic, energetic and passionate in achieving business and operating success"	N
8	"The Program:We are a large CPG company looking for a small team to help us run our category optimization and assortments across eight key categories for ~100 accounts. This is part of a broader Assortment Optimization initiative, the objective of which is to place our highest performing SKUs in higher levels of distribution.We are looking for a team to run our current historical data to help us pick the right SKUs so that we can build the assortment fact base,utilize velocity assessment atretailer and competitive markets, apply specific rules/guidelines to make decisions,and rank SKUs into a prioritized list with specific distribution targets for optimal assortment.We expect this engagement to run across 12-24 weeks throughout this year and are hoping a team can come in to provide more efficiency in that process (shorter time to completion).The Role:We previously had a large consulting firm working on this, and we are looking for a smaller, more tactical team to accomplish this work. The role for this project will primarily be running this data from Nielsen to input within Alteryx for our team to take the output. Key outputs include: SKU-level data to be used to prioritize SKUs for future assortment, mapping of anticipated impact to existing SKUs in historical data, and a list of prioritized SKUs based on critical attributes, adjusted for specific focus retailers.We envision this being a small team with a PM type to oversee the project and 1-2 analysts to run this data.Qualified teams will have experience in standard CPG category management and assortment analysis, tactical experience running this type of data, experience running analytics and repeatable processes under a tight set of rules.Qualified candidates:Experience in standard category management and assortment analysis requiredExperience running category data requiredExperience doing both of the above in a full time role preferredData analytics experience requiredUnderstanding of velocities in market and understanding the principles involved in making decisions preferredExtensive Excel experience requiredExtensive Alteryx experience preferredAnalyst to associate manager level preferredRemote work for this project is okay, with some key on-site meetings possible throughout the engagement. We are hoping to move forward with someone for this project before the end of the year with an anticipated start in the New Year."	"Proven ability to translate strategic plans, objectives, and business goals into actionable, well-defined programs, projects, and initiatives Operations / Execution Demonstrated ability to identify, execute and manage significant engagements across Operations, Sales and Technology functions of the business"	N
9	We are looking for a candidate with a background in market research and competitiveintelligence who hasa strong background in oncology. Rolesand responsibilities include:- Working with multiple vendors to execute on market research projects- Collaborating with various US-based cross-functional stakeholders tounderstand their strategic business questions and gain alignment- Ensuring strategic thinking from Marketing is pulled through in ourapproach to market research and our market research instruments- Synthesizing findings across projects to help inform Marketing strategyThe candidate must also have strong project management and communicationskills.	"8+ years of experience in a professional work environment Ability to work in a mix of commercial and public sector environments Ability to transform and modernize historically conservative sectors, including energy and utilities Ability to work with the federal government to transform the way services are delivered to citizens Ability to work on fast-paced commercial engagements, including outside of business hours Ability to meet client travel requirements when they arise Experience with management consulting or at a start-up or tech firm, focusing on digital strategy, Web technologies, or mobile application design Experience with financial modeling, statistical analysis, or data mining Experience with building product and services around big data analytics MBA or MA or MS degree in a related functional field, including product design, data analytics, technology, marketing, and communications"	N
10	"Quality for cloud-based healthcare SW productsSummaryOverviewGE Healthcare has been traditionally mostly a device manufacturer. As such, we have a robust quality system and profound understanding of quality set around device manufacturing. Nowadays, as we are moving into the space of highly scalable, cloud-based SW applications, we are aware that the existing quality processes, best practices and know-how are not optimal for those type of products. Hence, we are re-thinking the way we ensure quality for our cloud-based SW products, with the desire to refrain from unnecessary processes which originate from a HW device manufacturing perspective, while adopting new processes and practices that ensure the quality of our new SW products. Project scopeThis is a consulting project around a specific cloud-based SW product being developed. We are seeking an expert in the field of mobile, web and cloud application SW development and deployment, with an aptitude and experience around SW quality practices to provide us with recommendations for best practices for a high quality production cloud application.It is expected that this consultant will leverage his / her experience and expertise in this space to thoroughly understand the product end-user functionality as well as current SW architecture, development methodologies, deployment and operations strategy as a basis for providing recommendations.The output of this project should be a recommended holistic approach for SW product quality best practices and processes, covering multiple end-product quality aspects such as testability, availability, maintainability, serviceability, upgradeability, etc. with a down-to-earth, practical approach to ultimately facilitate implementation.In particular, we would like for the consultant to provide best practices around the following topics:Components that need be planned into development, e.g., logging, securityÉBest practices in testing automationBest practices for CI/CDAn approach for application monitoring to facilitate proactive service and user analyticsThe desired form of output is a detailed document covering the suggested quality approach, accompanied by a presentation delivered through remote conferencing with a Q&A session, either on the same or separate call."	"At least 4 years experience in Finance Transformation consulting or working in a Finance Function At least 2 years experience in Project / programme across the full project life-cycle At least 1 year experience in understanding of the relevant underlying enabling technologies Certified in Financial or Management Accounting qualification (for example ACCA, CPA, CIMA) German: Fluent"	N
